machine_id,elapsed_time_s,Air_Temperature,Rotational_Speed,Process_Temperature,Torque,Failure
machine_01,0,18.02,0.0,18.0,124.359,None
machine_01,0.1,17.73,9.61,18.08,125.566,None
machine_01,0.2,18.12,20.46,18.3,120.827,None
machine_01,0.3,17.56,31.24,18.67,121.964,None
machine_01,0.4,17.65,41.58,19.18,116.292,None
machine_01,0.5,17.73,49.96,19.83,123.124,None
machine_01,0.6,17.82,59.95,20.62,120.903,None
machine_01,0.7,18.39,76.1,21.54,110.464,None
machine_01,0.8,17.64,80.02,22.6,120.638,None
machine_01,0.9,17.74,95.81,23.78,112.705,None
machine_01,1,18.4,95.54,25.09,124.489,None
machine_01,1.1,17.52,102.01,26.53,129.047,None
machine_01,1.2,17.97,108.98,28.09,132.536,None
machine_01,1.3,17.74,138.14,29.76,113.764,None
machine_01,1.4,18.31,137.86,,120.172,None
machine_01,1.5,17.76,150.4,33.47,,None
machine_01,1.6,17.68,147.73,35.49,129.965,None
machine_01,1.7,18.11,182.87,37.62,112.079,None
machine_01,1.8,18.09,169.83,39.86,127.977,None
machine_01,1.9,17.92,206.62,42.2,112.153,None
machine_01,2,65535,210.07,44.65,115.499,None
machine_01,2.1,17.57,206.75,47.2,122.881,None
machine_01,2.2,17.51,215.35,49.85,124.4,None
machine_01,2.3,18.41,217.14,52.6,127.623,None
machine_01,2.4,17.7,232.82,55.44,125.081,None
machine_01,2.5,17.5,251.42,58.38,119.336,None
machine_01,2.6,18.47,269.5,61.4,116.454,None
machine_01,2.7,17.78,257.86,64.52,125.889,None
machine_01,2.8,17.79,262.41,67.72,128.496,None
machine_01,2.9,18.03,301.29,71.02,116.599,None
machine_01,3,18.3,309.35,74.4,117.194,None
machine_01,3.1,17.72,334.37,77.86,111.319,None
machine_01,3.2,18.37,315.49,81.4,122.714,None
machine_01,3.3,17.76,351.3,85.02,113.566,None
machine_01,3.4,17.8,354.96,,115.122,None
machine_01,3.5,18.31,356.54,92.5,118.579,None
machine_01,3.6,17.69,353.45,96.35,122.603,None
machine_01,3.7,17.76,393.31,100.28,113.399,None
machine_01,3.8,17.85,360.95,104.28,127.397,None
machine_01,3.9,17.6,414.05,108.35,114.102,None
machine_01,4,17.61,366.78,112.49,131.777,None
machine_01,4.1,17.77,,116.69,114.39,None
machine_01,4.2,18.26,65535,120.97,126.741,None
machine_01,4.3,17.75,427.07,125.31,121.61,None
machine_01,4.4,18.2,466.15,129.71,113.85,None
machine_01,4.5,18.31,65535,134.18,120.361,None
machine_01,4.6,18.21,420.01,138.71,132.347,None
machine_01,4.7,17.72,461.31,143.3,122.205,None
machine_01,4.8,18.3,520.97,147.94,110.994,None
machine_01,4.9,18.19,532.63,152.65,111.057,None
machine_01,5,18.28,477.75,157.41,125.868,None
machine_01,5.1,,549.89,162.23,111.823,None
machine_01,5.2,18.31,526.63,167.11,118.882,None
machine_01,5.3,18.16,567.22,172.03,,None
machine_01,5.4,18.31,606.33,177.01,107.826,None
machine_01,5.5,17.56,557.82,182.04,118.693,None
machine_01,5.6,18.29,541.12,187.12,124.526,None
machine_01,5.7,17.61,576.89,192.25,118.93,None
machine_01,5.8,18.4,601.78,197.43,116.345,None
machine_01,5.9,18.16,588.98,202.66,121.109,None
machine_01,6,18.39,600.41,207.9,119.368,None
machine_01,6.1,17.87,589.66,213.05,121.664,None
machine_01,6.2,17.59,,218.1,117.505,None
machine_01,6.3,17.73,65535,223.05,129.052,None
machine_01,6.4,18.01,631.22,227.9,113.513,None
machine_01,6.5,17.87,607.13,232.66,117.847,None
machine_01,6.6,18.06,586.28,237.31,122.421,None
machine_01,6.7,17.96,589.5,241.88,121.609,None
machine_01,6.8,17.85,620.32,246.36,115.651,None
machine_01,6.9,18.02,589.05,250.75,121.805,None
machine_01,7,18.46,591.87,255.05,120.459,None
machine_01,7.1,17.51,554.1,259.27,129.389,None
machine_01,7.2,17.73,,263.4,65535,None
machine_01,7.3,17.66,595.26,267.45,120.023,None
machine_01,7.4,17.51,604.15,65535,118.357,None
machine_01,7.5,17.87,629.28,,113.879,None
machine_01,7.6,17.92,648.61,279.13,110.12,None
machine_01,7.7,17.88,630.78,282.87,113.472,None
machine_01,7.8,17.98,569.62,286.54,126.14,None
machine_01,7.9,18.0,612.91,290.13,116.818,None
machine_01,8,18.17,603.32,293.65,118.009,None
machine_01,8.1,18.28,624.02,297.11,114.925,None
machine_01,8.2,18.2,645.21,300.49,111.066,None
machine_01,8.3,17.59,594.83,303.81,120.463,None
machine_01,8.4,18.1,586.19,307.07,122.34,None
machine_01,8.5,18.17,540.65,310.26,132.117,None
machine_01,8.6,17.66,592.0,313.38,120.658,None
machine_01,8.7,17.96,613.95,316.44,116.726,None
machine_01,8.8,17.75,547.49,319.44,130.527,None
machine_01,8.9,18.22,644.24,322.38,111.211,None
machine_01,9,17.95,566.15,325.27,126.577,None
machine_01,9.1,18.11,634.24,328.1,112.868,None
machine_01,9.2,17.79,638.12,330.87,112.368,None
machine_01,9.3,17.67,667.22,333.58,107.239,None
machine_01,9.4,17.9,658.49,336.25,108.369,None
machine_01,9.5,17.75,598.5,338.86,119.68,None
machine_01,9.6,18.19,65535,341.42,110.836,None
machine_01,9.7,17.63,570.28,343.92,125.809,None
machine_01,9.8,18.18,634.82,346.38,112.741,None
machine_01,9.9,18.06,605.82,,118.156,None
